Order ID,Date,Customer ID,Product Category,Product Name,Quantity,Price per Unit,Total Sales,Payment Method,Order Status
ORD1000,2024-02-03,CUST707,Electronics,Smartphone,3,60.05,180.15,Credit Card,Cancelled
ORD1001,2024-01-06,CUST727,Home & Kitchen,Vacuum Cleaner,5,230.61,1153.05,Gift Card,Pending
ORD1002,2024-01-18,CUST396,Beauty,Foundation,4,16.99,67.96,Debit Card,Pending
ORD1003,2024-01-18,CUST924,Clothing,Jacket,3,368.99,1106.97,Gift Card,Delivered
ORD1004,2024-01-29,CUST758,Clothing,Jacket,2,472.34,944.68,Gift Card,Cancelled
ORD1005,2024-02-21,CUST330,Electronics,Smartphone,2,304.02,608.04,Debit Card,Pending
ORD1006,2024-01-25,CUST406,Home & Kitchen,Toaster,2,382.95,765.9,Gift Card,Cancelled
ORD1007,2024-01-11,CUST791,Books,Self-Help,5,418.55,2092.75,Credit Card,Delivered
ORD1008,2024-01-26,CUST873,Home & Kitchen,Microwave,3,385.43,1156.29,Gift Card,Pending
ORD1009,2024-01-13,CUST675,Books,Science,4,45.13,180.52,Debit Card,Delivered
ORD1010,2024-02-01,CUST449,Clothing,T-Shirt,1,447.59,447.59,Gift Card,Delivered
ORD1011,2024-01-23,CUST527,Toys,Puzzle,1,362.43,362.43,PayPal,Shipped
ORD1012,2024-02-08,CUST381,Beauty,Lipstick,4,65.63,262.52,Debit Card,Delivered
ORD1013,2024-02-20,CUST363,Toys,Lego Set,2,267.98,535.96,Gift Card,Pending
ORD1014,2024-02-29,CUST601,Home & Kitchen,Blender,5,125.45,627.25,Debit Card,Cancelled
ORD1015,2024-01-15,CUST336,Clothing,Jacket,3,266.0,798.0,PayPal,Pending
ORD1016,2024-02-11,CUST986,Beauty,Lipstick,1,325.01,325.01,Debit Card,Pending
ORD1017,2024-02-08,CUST115,Clothing,T-Shirt,5,123.16,615.8,Credit Card,Delivered
ORD1018,2024-02-28,CUST987,Beauty,Foundation,5,481.47,2407.35,Debit Card,Pending
